dropout,age,gender,other_sports,injury_previous_season,socioeconomic,intrinsic,ide,int,ext,amot,aut_supp
no dropout,,female,1,no,4,5.25,4.5,1.5,1,2,4.666666667
no dropout,,male,1,yes,5,4,6.75,1.25,2.75,2.5,6.166666667
dropout,,female,1,no,5,7,5,1,1,1,6.166666667
dropout,,female,1,yes,5,4.5,4.75,1,2.75,2.25,4.666666667
no dropout,,male,0,no,5,7,4.75,1,1,1,4.5
,,male,1,no,4,7,4,1,1,1,6
no dropout,,male,2,no,3,7,5.5,1,1.25,1,6.833333333
no dropout,10,female,0,no,5,7,7,1,1,1,6.833333333
no dropout,10,female,1,no,4,6.25,4.5,1,1,1,4.666666667
no dropout,10,male,1,no,5,7,6.5,1,1,1,7
no dropout,10,male,0,no,5,7,6.333333333,1,1,1,6.666666667
no dropout,10,male,2,no,5,7,5.5,1,1,1,6.166666667
dropout,10,male,2,no,5,5,5,4.25,2.666666667,4.333333333,6.166666667
no dropout,10,male,2,no,2,5,4.75,2.75,2,1.75,4.5
no dropout,11,female,1,no,5,4.75,5.5,1,1.75,1,7
no dropout,11,male,1,no,5,7,7,1,2,1,7
no dropout,11,male,0,no,3,7,7,1,1,1,5.5
no dropout,11,male,1,no,5,7,6.5,1,1,1,6.5
no dropout,11,female,0,no,4,7,6,1.5,1,1,6.5
no dropout,11,male,0,no,5,7,3.5,1,1,1,6.333333333
dropout,11,male,0,no,5,7,7,1,1,1,6.833333333
dropout,11,male,2,no,5,7,4,1,1,1.25,6.333333333
dropout,11,female,2,no,5,7,6.5,1,1,1,5.5
no dropout,11,male,1,no,5,7,6.75,1,1,1,7
no dropout,11,female,1,no,4,3.5,3.5,2,1.25,2.25,3.666666667
no dropout,11,female,2,no,5,7,5.75,1,1,1,6.666666667
dropout,11,female,1,no,4,5.5,2.5,2.5,2.5,2.5,7
no dropout,11,male,0,no,5,7,6.25,1,1,1,6.5
no dropout,11,male,1,no,4,7,6.5,1,1,1,6
no dropout,11,male,1,no,5,3.75,4.25,4,2.333333333,4,3.666666667
no dropout,11,male,0,no,5,7,7,1,1,1,7
no dropout,11,male,1,no,5,7,7,1,1,1,4.666666667
no dropout,11,female,1,no,5,7,6.25,1,1,1,6.166666667
no dropout,11,male,1,no,5,7,6.25,1.25,1,1.25,5.333333333
no dropout,11,female,1,no,4,7,5.25,1,1,1,6
no dropout,11,female,1,no,5,7,7,1,1,1,7
no dropout,11,female,0,no,4,7,7,1,1,1,6.666666667
no dropout,11,female,1,no,5,6.75,5.25,2,1,1,5.833333333
,11,female,1,no,4,7,3.5,1,1,1,7
no dropout,11,female,0,no,5,7,5.5,1,1,1,6.833333333
no dropout,11,male,1,no,5,7,7,1,1,1,6.833333333
no dropout,11,female,2,no,4,3.25,6.25,1,1.5,1.5,7
no dropout,11,female,0,no,5,7,5.5,1,1,1,7
no dropout,11,female,0,no,4,7,4.75,1,1.5,1,6.5
no dropout,11,male,0,no,5,6.75,6,1,1,1,6.333333333
dropout,11,female,1,no,5,6.5,4.25,1.25,1.25,2.5,4.666666667
no dropout,11,female,1,no,4,7,5.5,1,1,1,6
no dropout,11,male,1,no,4,7,6.25,1,1,1,6.166666667
no dropout,11,female,1,no,5,7,5.5,1,1,1,7
no dropout,11,male,1,no,5,7,4.25,1,1,1,6
dropout,11,male,1,no,5,7,5.75,1,1,1,5.333333333
dropout,11,male,0,no,1,7,1.75,1,1,1,5.666666667
no dropout,11,male,1,no,5,7,6.5,1,1,1,7
no dropout,11,female,0,no,4,7,3,1,1,1,6.333333333
no dropout,11,male,2,no,4,6.25,3.75,1,1,1,6.166666667
no dropout,11,female,1,no,4,6.5,5.75,1,1,1,4.166666667
no dropout,11,male,1,no,5,5.5,2.25,2.5,2.5,1.75,6.666666667
no dropout,11,male,0,no,4,7,5.75,1.75,3,1.25,6.5
no dropout,11,male,2,no,4,7,4.5,1,1,1,6
no dropout,11,female,2,no,5,7,5.5,1,1,1,7
dropout,11,female,3,no,5,7,5.5,1,1,1,5.833333333
no dropout,11,male,2,yes,5,5,7,1,1,1,6.4
no dropout,11,male,1,no,5,7,6,1,1,1,4.333333333
no dropout,11,female,1,no,5,7,5.75,2,1,1,6.333333333
no dropout,11,male,2,yes,5,7,7,1,2.5,1,4.333333333
no dropout,11,female,1,no,5,7,5.5,1,1.5,1,5.5
no dropout,11,male,0,no,5,7,6.25,1,1,1.25,6.5
,11,female,1,no,5,7,6.75,1.25,2,1,6.5
no dropout,11,male,7,no,5,5.5,5.5,1,1,1,7
no dropout,11,female,1,no,5,7,5,2,1.25,1.5,6.5
no dropout,11,male,0,no,5,7,7,2.5,2.5,2.75,5.25
no dropout,11,female,0,no,5,7,7,1,1,1,5.166666667
no dropout,11,male,0,no,5,7,5.75,2.25,1,2,6.5
no dropout,11,male,2,no,4,7,6.75,1,1,1,7
no dropout,11,male,1,no,4,6.5,5.75,1,1.75,1,5.5
no dropout,11,male,0,no,4,7,5.25,2.5,1,2.5,7
no dropout,11,male,1,no,5,6.75,5.25,2.75,1,1,4.666666667
dropout,11,male,2,,,4,3.5,2.5,1,2.5,3.833333333
no dropout,11,male,1,yes,5,7,3.5,5,4.75,4,5.5
no dropout,11,female,1,yes,5,7,5.25,1,1,1,6.666666667
no dropout,11,male,0,no,5,7,5,1,1.75,1,7
no dropout,11,female,1,no,5,7,5.5,1,1,1,5.833333333
,11,female,1,no,5,7,3.75,1,1.25,1,7
no dropout,11,female,1,no,5,7,5,1,1,1,7
no dropout,11,female,1,no,5,7,4.5,1,1,1,7
dropout,11,female,0,no,5,7,4.75,1,1.5,1,5.833333333
no dropout,11,male,2,no,5,7,4.75,1.25,1,1,4.833333333
no dropout,11,male,1,no,5,7,6.5,1,1,1,6.833333333
no dropout,11,male,2,no,5,7,4.5,1,1,1,4.333333333
dropout,11,male,2,no,5,7,5.25,1,1.5,2.333333333,6.166666667
no dropout,11,male,0,no,5,5.5,4.75,1,1.25,1.25,4.666666667
no dropout,11,male,1,no,5,4.25,3.5,1.75,1.5,3,3.666666667
no dropout,11,male,3,no,5,7,6.5,3,1,1,7
no dropout,11,male,0,no,5,7,6,1,1,1,6.666666667
no dropout,11,male,0,yes,5,7,6.25,1,1,1,3.666666667
no dropout,12,male,0,no,5,7,7,4.75,1,1.75,6
no dropout,12,female,1,no,5,7,6.25,1,1,1,7
no dropout,12,female,1,no,5,5.5,7,1,2.5,1,7
no dropout,12,male,0,no,5,7,4.5,1,1.5,1,3.666666667
no dropout,12,female,1,no,5,6.75,4.5,1,1,2.25,6.833333333
no dropout,12,male,1,no,4,5.5,4,1,2.5,1.75,6.666666667
no dropout,12,male,0,no,4,7,5.25,1,1,1.25,5.166666667
no dropout,12,female,1,no,5,6.75,3.25,1,1,1,6
no dropout,12,male,0,no,4,6.5,3.25,1,1,1,5.833333333
no dropout,12,male,0,no,4,7,5.25,4.25,2,1.5,4.666666667
no dropout,12,male,1,no,5,6.25,5.5,1,1.25,1,6.166666667
no dropout,12,female,1,no,4,7,4.75,1,1,1,6.333333333
no dropout,12,female,1,no,5,7,6,1.75,1,1,6.5
no dropout,12,male,0,no,5,7,4.75,2,1,1,5.333333333
no dropout,12,female,1,no,4,7,4.75,1,1,1,6.166666667
no dropout,12,male,1,no,5,4,2.5,2.333333333,1.25,1,6.166666667
no dropout,12,female,1,no,5,7,5.75,1,1,1,7
no dropout,12,male,0,no,5,7,6.25,1,1,1,4.666666667
no dropout,12,male,2,,,5.5,5.666666667,1,2,1,6.833333333
no dropout,12,female,0,no,4,7,5.75,1,1,1,5.5
no dropout,12,male,0,no,4,6.75,5.5,1,1,1,5
no dropout,12,male,0,no,4,7,4,1,1,1,6.666666667
,12,female,1,no,5,5,2.75,2.25,3,1.75,5.166666667
no dropout,12,male,0,no,5,5,,1.5,,2.5,
no dropout,12,female,1,no,5,7,6.25,1,1,1,7
no dropout,12,male,0,no,4,7,1,1,1,1,7
no dropout,12,male,1,no,3,6.5,4.75,1.25,1.75,2.5,6.666666667
no dropout,12,female,1,no,5,7,4.5,2.25,1,1,6.5
no dropout,12,male,0,no,4,7,2.75,1,1,1.25,4.833333333
no dropout,12,male,1,no,4,7,5.5,1,1.5,1,4.833333333
no dropout,12,male,1,no,5,7,4,1,1,1,6.166666667
,12,female,0,no,5,7,6.75,1,1,1,7
no dropout,12,male,0,no,4,7,3.75,1,1,1,6
no dropout,12,female,1,no,5,7,4.75,1,1,1,6.5
no dropout,12,female,0,no,5,7,7,1,1,1,6.333333333
no dropout,12,male,1,no,5,6,2,1,1,1,4.333333333
,12,female,2,no,5,7,6.75,1,1,1,7
no dropout,12,male,0,no,5,6.75,2.5,1.25,1,1,4.333333333
no dropout,12,female,1,no,3,7,6.25,1,1,1,6.333333333
no dropout,12,male,2,no,5,7,4.5,1,1,1,6.166666667
no dropout,12,male,0,yes,4,7,6.25,1,1,1,5.833333333
no dropout,12,female,1,no,5,6.75,3,1.75,1.5,1,5.333333333
no dropout,12,male,1,no,5,7,6.5,1.25,1,1.25,6
